File Name,Number of Hosts,Latency,0,1,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,4194304,8388608,16777216
20170322_100501.out,1,0.32,0.00,2.80,4.77,10.48,17.60,39.43,78.87,124.42,235.19,340.03,597.69,895.10,1279.50,1323.91,1776.57,2122.83,2917.67,3666.76,4730.90,5153.37,5869.13,6094.18,4952.21,3510.43,2674.04,4800.76
20170322_230501.out,2,55.95,0.00,0.01,0.02,0.06,0.11,0.24,0.47,0.86,1.78,3.66,7.75,14.99,20.75,39.25,61.15,104.21,163.53,165.69,270.52,330.34,333.46,350.15,388.41,442.05,385.52,405.16
20170322_112501.out,1,0.48,0.00,1.79,3.77,6.95,13.92,26.24,50.69,90.76,163.42,274.46,464.82,702.81,932.76,1029.18,1481.88,1706.18,2132.60,2761.81,2960.16,3468.87,3660.42,3781.07,3698.01,3661.51,3693.87,4633.29
20170323_012501.out,2,44.21,0.00,0.02,0.04,0.08,0.16,0.32,0.64,1.23,2.43,4.83,8.28,15.37,21.75,37.19,73.60,115.82,178.82,168.52,271.05,333.73,401.51,381.97,498.00,401.82,435.95,448.01
20170322_184501.out,2,49.92,0.00,0.02,0.04,0.08,0.16,0.30,0.54,1.22,2.36,5.41,9.37,16.49,20.37,39.22,58.13,114.09,179.39,193.11,262.70,296.80,293.86,314.50,387.37,402.60,389.02,415.95
20170323_032501.out,2,55.21,0.00,0.02,0.03,0.07,0.15,0.29,0.57,1.16,2.29,4.47,8.76,16.01,20.17,40.78,73.13,115.07,185.12,186.74,248.51,304.88,384.82,395.89,420.35,414.55,464.96,449.70
20170322_212501.out,2,53.25,0.00,0.02,0.03,0.07,0.13,0.24,0.50,1.01,2.12,4.11,8.02,13.60,21.83,38.18,76.27,104.08,186.74,206.65,267.86,349.21,202.40,431.96,383.53,412.90,452.07,463.39
20170323_034501.out,2,56.64,0.00,0.02,0.03,0.07,0.14,0.28,0.54,1.06,2.11,4.38,8.61,14.87,16.40,38.98,62.99,112.25,176.78,166.33,269.42,299.09,364.14,398.84,403.27,446.66,432.39,469.52
20170322_214501.out,2,60.04,0.00,0.02,0.04,0.08,0.16,0.29,0.62,1.34,2.48,5.31,9.09,16.37,21.25,41.30,80.70,125.42,211.68,212.95,346.93,430.97,506.17,431.70,430.28,471.89,471.73,460.40
20170322_232501.out,2,51.75,0.00,0.02,0.03,0.07,0.14,0.29,0.60,1.15,2.32,4.42,8.96,16.51,21.07,40.20,73.25,120.35,193.25,198.04,309.13,326.35,367.93,406.89,384.96,421.83,426.78,433.91
20170323_002501.out,2,50.14,0.00,0.02,0.04,0.08,0.17,0.34,0.61,1.29,2.67,5.01,9.35,16.95,21.33,44.11,78.19,139.44,205.65,226.59,307.03,414.22,422.08,469.15,423.23,447.67,404.52,432.04
20170322_082502.out,1,0.24,0.00,3.03,5.73,12.02,23.29,42.87,95.24,177.65,322.93,524.46,853.69,1334.20,1916.71,1957.00,2629.12,3086.37,3723.58,4648.40,5338.11,6155.58,6899.88,7456.95,7628.87,6506.58,4665.43,4422.35
20170322_094501.out,1,0.51,0.00,1.69,5.48,8.92,20.21,44.37,56.20,125.06,278.72,516.26,839.00,1117.90,1637.91,1858.86,2549.34,2736.88,3124.37,4112.51,4692.64,5189.20,5815.37,6495.89,7513.50,5962.83,4605.48,4446.04
20170322_224501.out,2,54.52,0.00,0.02,0.04,0.08,0.16,0.29,0.61,1.24,2.30,4.74,8.83,16.15,21.12,41.25,75.67,121.97,191.54,210.37,292.72,316.63,360.68,419.73,412.14,423.51,422.04,372.62
