File Name,Latency,CPU time (sec.),Max Memory (MB),Average Memory (MB),Total Requested Memory (MB),Delta Memory (MB),Max Swap (MB),Max Processes,Max Threads,Run time (sec.),Turnaround time (sec.),Protocols Seen,Number of Hosts,Hosts Used,Host Groups,Exclusive,0,1,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,4194304,8388608,16777216
480345.out,0.21,56.42,13.45,13.45,-,-,563,7,9,33,5694,SHM,1,2*cn476.scarf.rl.ac.uk,scarf15,1,0.00,4.36,8.69,17.61,35.48,70.48,140.97,276.76,333.12,637.41,1157.06,1719.20,1689.59,2305.17,2761.50,2706.09,3547.95,4402.93,4644.67,5293.70,5582.16,5736.33,5784.77,5788.99,5790.71,3791.01
480301.out,0.11,65.45,13.46,13.46,-,-,563,7,9,35,1867,SHM,1,2*cn374.scarf.rl.ac.uk,scarf12,1,0.00,8.40,16.16,33.93,63.30,133.75,262.83,373.18,615.02,1264.98,1842.56,2761.97,2926.24,3894.46,4648.93,4859.20,3945.93,4808.39,5312.80,5390.08,5614.17,5722.04,5713.46,5487.40,3709.27,3576.56
480356.out,1.56,48.00,13.57,13.57,-,-,563,7,9,27,1866,SHM-IBV,2,1*cn207.scarf.rl.ac.uk-1*cn215.scarf.rl.ac.uk,scarf16-scarf16,1,0.00,0.59,1.20,2.38,4.75,9.46,18.23,35.54,64.71,85.01,153.21,276.96,501.64,739.18,1129.64,1563.04,2711.71,3831.76,4694.58,5287.99,5651.44,5856.74,5948.32,5974.94,5565.46,5481.67
480285.out,0.11,66.38,13.45,9.79,-,-,563,7,9,40,3079,SHM,1,2*cn349.scarf.rl.ac.uk,scarf11,1,0.00,8.05,15.89,31.16,63.87,122.96,252.22,359.05,601.29,1190.70,2051.08,2402.35,2686.34,3683.04,4329.52,4679.47,6200.48,4733.76,5126.83,5301.21,5601.68,5717.65,5679.70,5588.58,3616.93,3489.00
480295.out,1.75,84.94,13.59,13.59,-,-,563,7,9,45,1885,SHM-IBV,2,1*cn375.scarf.rl.ac.uk-1*cn380.scarf.rl.ac.uk,scarf12-scarf12,1,0.00,0.56,1.12,2.23,4.46,8.55,16.62,32.52,59.62,73.60,136.20,230.40,373.77,627.61,925.21,1270.32,1733.23,2255.14,2648.89,2908.23,3076.97,3152.48,3186.28,3204.16,3043.56,3038.19
480296.out,1.74,84.77,13.58,13.58,-,-,563,7,9,45,1953,SHM-IBV,2,1*cn380.scarf.rl.ac.uk-1*cn374.scarf.rl.ac.uk,scarf12-scarf12,1,0.00,0.57,1.14,2.26,4.52,8.77,17.02,33.23,60.97,76.67,141.97,234.55,385.42,632.95,938.21,1275.47,1744.94,2264.58,2655.48,2912.06,3067.29,3169.17,3183.72,3220.02,3041.08,3037.84
480344.out,0.28,55.39,13.45,13.45,-,-,563,7,9,36,5641,SHM,1,2*cn476.scarf.rl.ac.uk,scarf15,1,0.00,3.18,6.45,12.93,25.65,50.96,101.23,209.75,248.60,477.83,824.14,1386.36,1378.89,1871.28,2181.04,2569.69,3851.09,4972.95,5234.84,5378.14,5624.17,5776.11,5830.93,5838.40,5866.70,3912.76
480350.out,16.91,1259.76,93.43,73.56,-,-,712,11,13,643,2039,SHM-TCP,2,1*cn204.scarf.rl.ac.uk-1*cn217.scarf.rl.ac.uk,scarf16-scarf16,1,0.00,0.06,0.11,0.22,0.43,0.92,1.96,4.04,7.74,15.03,26.75,49.45,79.80,144.35,232.74,374.26,322.23,500.25,685.46,859.71,917.64,916.99,815.63,521.77,271.40,139.04
480351.out,14.99,1294.48,93.43,74.85,-,-,712,11,13,664,2107,SHM-TCP,2,1*cn201.scarf.rl.ac.uk-1*cn213.scarf.rl.ac.uk,scarf16-scarf16,1,0.00,0.06,0.13,0.25,0.51,1.03,2.06,4.09,8.19,15.54,29.46,59.24,91.63,141.25,236.79,369.83,355.57,500.20,681.94,856.19,919.46,928.82,767.88,494.80,267.67,134.42
480288.out,70.40,2731.00,93.30,66.97,-,-,712,11,13,1366,2772,SHM-TCP,2,1*cn365.scarf.rl.ac.uk-1*cn369.scarf.rl.ac.uk,scarf12-scarf12,1,0.00,0.01,0.02,0.05,0.09,0.17,0.40,0.74,1.36,2.65,5.74,8.96,9.65,31.06,44.59,28.53,40.47,54.91,71.66,85.26,95.01,100.78,102.26,102.54,98.89,90.41
480282.out,0.12,66.00,13.45,13.45,-,-,563,7,9,34,2871,SHM,1,2*cn349.scarf.rl.ac.uk,scarf11,1,0.00,7.94,15.52,34.04,66.05,127.11,250.24,369.94,608.80,1199.77,2068.69,2399.53,2616.42,3621.97,4377.82,4606.29,6210.18,4724.08,5181.35,5273.88,5498.74,5601.66,5682.26,5660.84,3642.52,3550.71
480283.out,0.11,66.01,13.45,13.45,-,-,563,7,9,36,2939,SHM,1,2*cn349.scarf.rl.ac.uk,scarf11,1,0.00,7.94,15.44,31.78,62.81,127.11,257.55,350.93,610.25,1205.41,2064.52,2417.23,2587.08,3725.75,4392.79,4613.26,6246.28,4682.52,5205.84,5289.60,5519.93,5666.00,5691.70,5601.57,3632.47,3517.06
480290.out,86.64,2730.27,93.53,67.20,-,-,712,11,13,1366,2974,SHM-TCP,2,1*cn379.scarf.rl.ac.uk-1*cn366.scarf.rl.ac.uk,scarf12-scarf12,1,0.00,0.01,0.02,0.05,0.10,0.26,0.42,0.70,1.38,2.70,5.09,9.29,17.00,28.18,45.69,51.32,36.10,57.54,73.43,84.23,94.94,101.14,103.54,103.25,98.47,90.41
480291.out,85.98,2737.00,93.52,67.14,-,-,712,11,13,1374,2974,SHM-TCP,2,1*cn373.scarf.rl.ac.uk-1*cn381.scarf.rl.ac.uk,scarf12-scarf12,1,0.00,0.01,0.02,0.05,0.11,0.26,0.42,0.81,1.37,2.73,5.17,9.20,18.16,29.63,47.09,55.04,40.64,58.84,77.18,83.00,94.72,100.53,103.01,102.62,98.50,89.33
480272.out,75.90,2787.66,93.76,69.90,-,-,712,11,13,1407,7054,SHM-TCP,2,1*cn356.scarf.rl.ac.uk-1*cn342.scarf.rl.ac.uk,scarf11-scarf11,1,0.00,0.01,0.02,0.05,0.10,0.18,0.38,0.70,1.39,2.77,5.28,9.37,18.36,29.22,43.75,59.21,47.34,57.67,76.76,84.36,93.93,99.32,102.14,101.21,97.02,87.56
480273.out,80.83,2759.63,93.29,68.31,-,-,712,11,13,1403,7164,SHM-TCP,2,1*cn350.scarf.rl.ac.uk-1*cn355.scarf.rl.ac.uk,scarf11-scarf11,1,0.00,0.01,0.02,0.05,0.09,0.19,0.37,0.73,1.45,2.81,5.31,9.76,18.79,28.57,47.48,50.74,47.54,54.44,74.69,85.18,98.00,104.08,105.62,101.96,97.52,88.46
480274.out,69.86,2785.99,93.61,69.53,-,-,712,11,13,1398,8473,SHM-TCP,2,1*cn357.scarf.rl.ac.uk-1*cn342.scarf.rl.ac.uk,scarf11-scarf11,1,0.00,0.01,0.01,0.05,0.09,0.18,0.36,0.71,1.40,2.75,5.48,10.47,18.07,28.11,44.77,55.56,45.78,57.31,80.00,83.48,94.70,100.07,100.97,101.46,96.81,87.24
480275.out,78.88,2780.12,93.52,71.19,-,-,712,11,13,1396,8560,SHM-TCP,2,1*cn356.scarf.rl.ac.uk-1*cn355.scarf.rl.ac.uk,scarf11-scarf11,1,0.00,0.01,0.03,0.05,0.09,0.19,0.36,0.73,1.40,2.75,5.14,9.08,18.33,28.32,46.50,61.03,53.27,61.10,78.97,81.91,93.30,99.98,101.92,101.50,97.27,88.37
480277.out,1.71,86.00,13.59,13.59,-,-,563,7,9,58,8626,SHM-IBV,2,1*cn357.scarf.rl.ac.uk-1*cn356.scarf.rl.ac.uk,scarf11-scarf11,1,0.00,0.57,1.14,2.27,4.52,8.73,17.01,33.11,60.88,75.16,139.51,232.10,380.84,626.05,929.73,1260.23,1733.76,2256.32,2651.42,2910.56,3064.19,3167.92,3183.03,3219.85,3040.81,3033.92
480278.out,1.96,84.77,13.59,13.59,-,-,563,7,9,44,8694,SHM-IBV,2,1*cn355.scarf.rl.ac.uk-1*cn357.scarf.rl.ac.uk,scarf11-scarf11,1,0.00,0.49,1.00,1.98,3.89,7.77,15.16,29.63,54.84,70.61,131.56,219.95,364.49,606.89,904.32,1238.41,1678.89,2203.08,2615.37,2893.74,3051.58,3153.96,3185.15,3218.74,3049.65,3037.20
480279.out,1.88,84.87,13.58,13.58,-,-,563,7,9,46,8746,SHM-IBV,2,1*cn356.scarf.rl.ac.uk-1*cn355.scarf.rl.ac.uk,scarf11-scarf11,1,0.00,0.50,1.00,2.00,3.99,7.75,15.13,29.56,54.86,70.44,131.19,221.09,364.45,605.57,903.28,1240.13,1676.13,2204.35,2618.27,2888.04,3052.77,3147.38,3183.58,3202.46,3034.31,3037.09
480280.out,1.71,84.94,13.58,13.58,-,-,563,7,9,44,8831,SHM-IBV,2,1*cn357.scarf.rl.ac.uk-1*cn356.scarf.rl.ac.uk,scarf11-scarf11,1,0.00,0.56,1.13,2.27,4.50,8.76,17.00,33.10,60.93,75.19,139.99,232.21,380.65,576.35,927.64,1260.03,1733.94,2253.55,2650.86,2908.40,3065.11,3168.23,3183.21,3220.18,3040.98,3037.48
480281.out,1.91,86.00,13.58,13.58,-,-,563,7,9,55,8899,SHM-IBV,2,1*cn355.scarf.rl.ac.uk-1*cn357.scarf.rl.ac.uk,scarf11-scarf11,1,0.00,0.50,1.00,2.00,3.99,7.77,15.06,29.51,55.49,70.51,131.36,220.94,364.19,605.29,904.22,1239.33,1675.78,2203.84,2616.10,2894.05,3051.79,3154.60,3185.46,3218.72,3049.69,3037.22
480276.out,80.60,2753.68,93.54,68.09,-,-,712,11,13,1376,9886,SHM-TCP,2,1*cn350.scarf.rl.ac.uk-1*cn342.scarf.rl.ac.uk,scarf11-scarf11,1,0.00,0.01,0.02,0.05,0.09,0.19,0.41,0.88,1.45,2.81,5.30,9.48,18.67,28.43,47.31,62.59,46.32,54.61,76.09,86.07,96.51,101.79,104.31,103.49,97.71,88.25
480335.out,9.48,1314.93,93.42,69.91,-,-,712,11,13,659,17168,SHM-TCP,2,1*cn481.scarf.rl.ac.uk-1*cn497.scarf.rl.ac.uk,scarf15-scarf15,1,0.00,0.10,0.21,0.40,0.78,1.59,3.07,6.24,12.20,23.29,45.56,81.89,124.48,197.37,311.32,458.92,459.03,632.27,807.82,595.30,659.04,861.50,826.74,503.74,264.86,130.32
480336.out,9.63,1259.13,93.48,75.24,-,-,712,11,13,633,17802,SHM-TCP,2,1*cn497.scarf.rl.ac.uk-1*cn481.scarf.rl.ac.uk,scarf15-scarf15,1,0.00,0.10,0.21,0.42,0.79,1.58,3.14,6.23,12.18,23.83,45.34,83.86,124.01,201.26,319.67,460.74,467.10,634.76,812.06,587.32,654.15,741.42,821.55,481.95,294.89,137.29
480337.out,2.28,54.81,13.52,13.52,-,-,563,7,9,29,17849,SHM-IBV,2,1*cn497.scarf.rl.ac.uk-1*cn481.scarf.rl.ac.uk,scarf15-scarf15,1,0.00,0.45,0.70,1.86,2.97,6.00,9.38,27.74,52.14,63.80,135.75,235.49,438.65,637.55,966.48,1444.21,2209.65,3277.15,4067.42,5068.01,5556.91,4723.22,5427.11,5355.09,5209.78,5190.45
480338.out,1.98,54.00,7.99,7.99,-,-,270,4,5,32,17917,SHM-IBV,2,1*cn497.scarf.rl.ac.uk-1*cn481.scarf.rl.ac.uk,scarf15-scarf15,1,0.00,0.47,0.94,1.89,3.80,7.49,14.61,28.11,51.92,73.37,135.22,249.25,450.28,665.39,1010.02,1489.88,2431.90,3542.87,4467.48,5146.63,5564.52,5799.86,5928.51,4392.21,5426.72,5419.35
480339.out,1.93,58.00,13.53,13.53,-,-,563,7,9,32,17968,SHM-IBV,2,1*cn497.scarf.rl.ac.uk-1*cn481.scarf.rl.ac.uk,scarf15-scarf15,1,0.00,0.39,0.92,1.90,3.80,7.53,13.52,27.76,51.46,64.50,131.01,233.30,443.73,632.95,937.03,1400.09,2078.00,2929.20,3713.94,4248.05,4712.73,4873.96,4951.27,4986.63,4886.82,4837.99
480340.out,1.92,54.00,13.54,13.54,-,-,563,7,9,31,18015,SHM-IBV,2,1*cn497.scarf.rl.ac.uk-1*cn481.scarf.rl.ac.uk,scarf15-scarf15,1,0.00,0.48,0.97,1.95,3.89,7.60,14.71,28.34,52.30,73.89,135.88,247.26,444.19,658.72,1016.20,1487.17,2392.44,3544.81,4472.66,5130.79,5562.54,5804.60,5914.16,4951.99,4812.16,5491.93
480341.out,1.98,52.00,13.54,13.54,-,-,563,7,9,40,18063,SHM-IBV,2,1*cn497.scarf.rl.ac.uk-1*cn481.scarf.rl.ac.uk,scarf15-scarf15,1,0.00,0.47,0.94,1.89,3.77,7.46,14.42,28.00,51.58,72.61,134.60,250.05,447.20,667.28,1011.59,1485.12,2431.06,3551.22,4473.71,5149.18,5568.83,5807.25,5874.66,5964.12,5519.06,5410.70
480267.out,0.13,76.51,13.47,9.81,-,-,563,7,9,54,50465,SHM,1,2*cn079.scarf.rl.ac.uk,scarf10,1,0.00,6.42,13.02,25.52,51.91,104.15,204.80,313.92,588.17,1040.65,1808.39,2241.93,2307.28,3270.26,3858.92,4031.74,5480.52,6885.93,4642.51,4803.62,5031.07,5056.60,5075.61,4167.25,3256.90,3184.41
480268.out,0.13,74.55,13.47,13.47,-,-,563,7,9,50,50482,SHM,1,2*cn052.scarf.rl.ac.uk,scarf10,1,0.00,7.17,14.02,30.39,57.14,109.78,234.00,267.08,548.77,1075.63,1598.75,2234.59,2282.85,3178.27,3794.35,2451.73,3427.66,4168.03,4532.85,4654.80,4857.50,4899.92,5045.41,4158.83,3288.50,3213.14
480269.out,0.13,74.34,13.46,13.46,-,-,563,7,9,39,50522,SHM,1,2*cn079.scarf.rl.ac.uk,scarf10,1,0.00,7.04,14.02,28.05,56.29,110.54,222.80,313.15,544.97,1070.57,1825.31,2209.28,2305.98,3214.76,3855.29,4099.97,5535.95,4172.81,4665.92,4728.59,4934.98,4965.37,5058.16,4163.35,3275.53,3228.48
480270.out,0.13,74.00,13.46,13.46,-,-,563,7,9,37,50536,SHM,1,2*cn052.scarf.rl.ac.uk,scarf10,1,0.00,6.96,13.93,22.71,55.32,91.89,224.56,314.50,550.83,1083.02,1782.42,2093.53,2223.37,3096.58,3784.05,4074.23,5424.94,4072.20,4470.36,4705.04,4935.25,4950.14,5034.43,4109.18,3325.99,3231.97
480271.out,0.12,76.30,13.45,13.45,-,-,563,7,9,46,50568,SHM,1,2*cn079.scarf.rl.ac.uk,scarf10,1,0.00,7.09,13.91,27.26,56.74,116.47,222.80,331.61,547.59,1094.60,1781.64,2111.34,2220.66,3113.65,3696.33,3994.64,5355.23,4161.94,4557.30,4686.16,4900.92,5008.59,5067.36,4123.39,3272.20,2943.67
480262.out,4.37,208.00,62.15,29.77,-,-,705,11,13,106,50699,SHM-IBV,2,1*cn052.scarf.rl.ac.uk-1*cn079.scarf.rl.ac.uk,scarf10-scarf10,1,0.00,0.22,0.43,0.86,1.72,3.37,6.66,12.92,24.98,34.25,63.38,110.03,175.37,304.02,468.80,642.90,656.11,868.50,1016.24,1113.59,1166.87,1202.68,1314.90,1234.02,1331.43,1230.89
480263.out,4.39,208.20,78.15,35.11,-,-,721,11,13,105,50821,SHM-IBV,2,1*cn052.scarf.rl.ac.uk-1*cn079.scarf.rl.ac.uk,scarf10-scarf10,1,0.00,0.21,0.43,0.85,1.71,3.33,6.58,12.88,24.67,33.50,62.62,107.88,172.70,302.74,465.90,640.97,652.87,868.59,1007.14,1115.42,1162.62,1205.00,1315.05,1233.79,1329.90,1226.88
