File Name,Latency,CPU time (sec.),Max Memory (MB),Average Memory (MB),Total Requested Memory (MB),Delta Memory (MB),Max Swap (MB),Max Processes,Max Threads,Run time (sec.),Turnaround time (sec.),Protocols Seen,Number of Hosts,Hosts Used,Host Groups,Exclusive,CPUs,0,1,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,4194304,8388608,16777216
484443.out,0.36,55.46,13.47,13.47,-,-,563,7,9,29,4218,SHM,1,2*cn528.scarf.rl.ac.uk,scarf15,1,2,0.00,2.45,5.00,10.00,19.77,39.63,80.30,88.77,153.92,294.85,530.71,896.77,1299.90,1687.77,2587.80,2893.55,3896.31,4957.76,5265.15,5374.90,5639.68,5799.08,5851.73,5879.98,5855.64,3973.58
484416.out,0.16,82.10,13.47,13.47,-,-,563,7,9,42,5298,SHM,1,2*cn434.scarf.rl.ac.uk,scarf13,1,1,0.00,5.34,11.00,22.30,42.98,87.67,172.86,270.76,394.30,746.63,1278.40,1757.94,1893.45,2641.94,3162.32,3491.25,4869.13,6143.95,6572.00,7041.16,7275.69,7433.68,7526.92,7196.76,2784.97,2699.89
484415.out,0.32,98.25,13.47,13.47,-,-,563,7,9,53,5308,SHM,1,2*cn404.scarf.rl.ac.uk,scarf13,1,2,0.00,2.86,5.72,11.45,22.91,45.68,91.36,98.75,168.84,327.68,561.94,995.50,1020.49,1470.47,1898.55,2139.67,2851.25,3326.85,3623.55,3752.82,3838.34,3891.18,3918.92,3931.44,2431.76,2434.15
484420.out,0.15,82.11,13.46,13.46,-,-,563,7,9,50,5318,SHM,1,2*cn410.scarf.rl.ac.uk,scarf13,1,1,0.00,5.45,10.93,22.38,44.11,86.43,176.31,269.47,395.67,747.72,1295.38,1737.80,1895.42,2564.01,3155.93,3489.30,4847.61,6124.43,6556.88,7046.62,7261.53,7431.30,7521.14,7074.59,2766.40,2703.77
484418.out,0.15,82.37,13.46,13.46,-,-,563,7,9,46,5318,SHM,1,2*cn433.scarf.rl.ac.uk,scarf13,1,1,0.00,5.50,11.42,22.63,45.55,87.97,181.69,253.72,405.54,753.50,1301.97,1780.48,1924.36,2641.09,3161.71,3529.13,4898.51,6186.00,6636.56,7053.09,7255.48,7392.00,7501.37,7080.81,2761.59,2686.40
484419.out,0.31,98.18,13.47,13.47,-,-,563,7,9,56,5327,SHM,1,2*cn405.scarf.rl.ac.uk,scarf13,1,2,0.00,2.87,5.70,11.49,22.84,45.55,91.66,99.32,169.17,329.47,567.39,993.93,1018.59,1486.41,1892.08,2123.55,2841.15,3333.77,3631.76,3753.84,3841.93,3895.82,3920.71,3934.26,2434.92,2434.74
484417.out,0.31,99.00,13.46,13.46,-,-,563,7,9,59,5327,SHM,1,2*cn401.scarf.rl.ac.uk,scarf13,1,2,0.00,2.88,5.72,11.45,23.20,45.89,92.05,99.32,169.90,331.93,566.14,991.89,1008.37,1441.43,1894.87,2143.94,2838.07,3305.22,3594.34,3742.74,3822.26,3879.91,3904.51,3915.63,2422.31,2423.82
484421.out,0.31,98.43,13.46,13.46,-,-,563,7,9,63,5363,SHM,1,2*cn434.scarf.rl.ac.uk,scarf13,1,2,0.00,2.91,5.79,11.44,23.40,46.16,92.22,100.14,171.32,333.28,568.42,995.50,1026.63,1457.00,1880.03,2144.68,2853.36,3134.87,3637.37,3757.33,3841.62,3882.30,3920.35,3932.43,2432.07,2434.89
484422.out,0.15,82.02,13.45,13.45,-,-,563,7,9,49,5373,SHM,1,2*cn404.scarf.rl.ac.uk,scarf13,1,1,0.00,5.10,10.84,20.69,41.10,84.54,171.93,298.37,396.90,752.39,1293.34,1735.96,1882.35,2598.98,3161.71,3477.63,4849.13,6104.46,6429.87,7061.07,7216.14,7380.89,7472.36,7005.19,2780.86,2701.11
484423.out,0.31,98.43,13.46,13.46,-,-,563,7,9,61,5381,SHM,1,2*cn410.scarf.rl.ac.uk,scarf13,1,2,0.00,2.87,5.75,11.53,22.98,46.04,92.19,100.14,171.96,335.85,578.12,999.02,1028.50,1466.26,1893.94,2117.51,2824.34,3338.31,3640.33,3746.64,3833.59,3885.04,3910.06,3922.64,2426.79,2429.41
