File Name,Latency,CPU time (sec.),Max Memory (MB),Average Memory (MB),Total Requested Memory (MB),Delta Memory (MB),Max Swap (MB),Max Processes,Max Threads,Protocols Seen,Number of Hosts,Hosts Used,Host Groups,Exclusive,0,1,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,4194304,8388608,16777216
4003851.out,8.21,111.83,52.88,36.89,-,-,8784,10,12,SHM-TCP,2,1*host347.jc.rl.ac.uk-1*host341.jc.rl.ac.uk,broadwell256G-broadwell256G,1,0.00,0.12,0.23,0.47,0.91,1.81,3.66,7.15,14.09,26.43,48.98,90.87,147.34,216.64,294.06,450.66,451.47,627.40,816.69,957.27,1060.10,1116.62,1145.40,1161.77,1169.14,1174.35
4003852.out,8.30,111.95,52.88,36.88,-,-,8784,10,12,SHM-TCP,2,1*host350.jc.rl.ac.uk-1*host323.jc.rl.ac.uk,broadwell256G-broadwell256G,1,0.00,0.11,0.23,0.46,0.90,1.76,3.58,7.15,14.11,27.30,50.72,89.31,146.26,215.20,293.37,448.98,458.98,627.41,815.07,950.98,1061.49,1118.22,1145.39,1163.68,1167.54,1174.33
4003859.out,0.34,64.79,91.05,44.71,-,-,8701,9,11,SHM,1,2*host338.jc.rl.ac.uk,broadwell256G,1,0.00,2.79,5.47,10.90,20.08,43.40,85.96,119.10,210.83,380.60,669.83,1063.76,1345.16,1863.62,2263.53,2454.62,3214.87,3645.80,3961.29,4154.76,4231.08,4290.94,4314.47,4322.03,4325.63,3757.26
4003853.out,6.01,111.10,52.90,40.40,-,-,8784,10,12,SHM-TCP,2,1*host323.jc.rl.ac.uk-1*host341.jc.rl.ac.uk,broadwell256G-broadwell256G,1,0.00,0.16,0.31,0.62,1.21,2.43,4.88,9.72,18.91,36.61,69.13,123.02,187.12,316.23,421.93,583.84,566.39,710.01,876.98,1002.27,1090.16,1132.68,1155.48,1167.50,1172.86,1175.82
4003854.out,6.90,111.73,52.90,40.38,-,-,8784,10,12,SHM-TCP,2,1*host347.jc.rl.ac.uk-1*host350.jc.rl.ac.uk,broadwell256G-broadwell256G,1,0.00,0.11,0.21,0.42,0.83,1.67,3.34,6.65,13.03,25.41,48.58,89.24,146.51,238.68,346.83,513.94,477.88,643.14,838.54,974.93,1071.04,1123.20,1145.39,1165.34,1171.16,1175.24
4003860.out,0.35,64.96,91.05,44.71,-,-,8701,9,11,SHM,1,2*host306.jc.rl.ac.uk,broadwell256G,1,0.00,2.72,5.31,10.88,21.40,42.51,86.72,116.02,201.61,396.98,634.15,961.16,1356.29,1880.30,2336.23,2471.89,3189.60,3674.86,3936.45,4164.65,4229.90,4286.60,4307.24,4314.45,4316.35,3746.08
4003855.out,6.42,111.20,52.87,40.38,-,-,8784,10,12,SHM-TCP,2,1*host323.jc.rl.ac.uk-1*host338.jc.rl.ac.uk,broadwell256G-broadwell256G,1,0.00,0.15,0.30,0.59,1.17,2.33,4.64,9.28,18.15,34.72,66.46,118.14,188.15,302.61,407.48,569.62,558.88,707.27,882.72,1002.27,1090.58,1133.07,1155.35,1167.36,1172.47,1174.81
4003836.out,0.21,75.85,90.95,44.61,-,-,8701,9,11,SHM,1,2*host283.jc.rl.ac.uk,haswell256G,1,0.00,4.26,8.55,17.07,34.21,67.94,132.71,245.09,345.36,642.41,1143.50,1702.76,1830.41,2680.19,3179.04,3515.22,4995.22,6359.40,6575.46,7098.93,7294.06,3514.55,3529.76,3535.86,3539.26,3193.71
4003837.out,0.38,77.58,90.97,44.63,-,-,8701,9,11,SHM,1,2*host283.jc.rl.ac.uk,haswell256G,1,0.00,2.62,5.40,10.00,21.58,43.00,85.13,84.29,146.70,283.70,509.45,807.41,1010.11,1390.12,1757.80,2041.68,2698.62,3052.27,3251.02,3400.79,3459.19,3471.09,3521.86,3529.29,3534.97,3193.47
4003838.out,0.35,77.90,90.98,44.64,-,-,8700,9,11,SHM,1,2*host283.jc.rl.ac.uk,haswell256G,1,0.00,2.83,5.78,11.70,23.37,46.09,93.74,85.01,145.15,290.29,469.94,762.97,991.65,1418.96,1755.21,2046.91,2694.07,3093.67,3254.11,3395.26,3457.06,3488.25,3507.68,3514.01,3522.14,3176.33
4003839.out,0.40,77.76,90.97,44.63,-,-,8700,9,11,SHM,1,2*host283.jc.rl.ac.uk,haswell256G,1,0.00,2.31,4.75,9.38,19.05,34.13,76.19,84.47,132.68,277.28,464.56,805.74,994.72,1403.40,1811.99,2023.18,2693.49,3094.22,3273.03,3400.69,3454.34,3489.21,3514.12,3519.85,3520.74,3187.47
4003840.out,0.32,77.46,90.99,44.65,-,-,8701,9,11,SHM,1,2*host283.jc.rl.ac.uk,haswell256G,1,0.00,2.82,5.75,11.56,22.95,46.11,92.05,94.64,139.11,304.99,484.68,796.89,987.64,1369.21,1713.81,2021.09,2693.38,3101.75,3273.88,3405.32,3452.56,3499.13,3522.52,3530.77,3536.50,3201.51
4003831.out,9.29,112.43,52.85,35.80,-,-,8784,10,12,SHM-TCP,2,1*host283.jc.rl.ac.uk-1*host289.jc.rl.ac.uk,haswell256G-haswell256G,1,0.00,0.10,0.21,0.41,0.80,1.60,3.20,6.38,12.31,24.24,45.68,84.19,146.87,234.23,329.34,474.65,458.68,625.21,802.05,959.50,1057.01,1114.80,1138.44,1156.04,1165.93,1169.82
4003832.out,12.38,112.80,52.96,40.41,-,-,8784,10,12,SHM-TCP,2,1*host283.jc.rl.ac.uk-1*host289.jc.rl.ac.uk,haswell256G-haswell256G,1,0.00,0.08,0.14,0.29,0.58,1.18,2.34,4.70,9.03,16.90,32.81,64.72,112.27,183.86,261.92,411.21,374.29,546.75,749.92,917.43,1034.87,1101.36,1140.18,1159.01,1167.31,1172.10
4003833.out,11.60,112.83,52.85,30.33,-,-,8784,10,12,SHM-TCP,2,1*host283.jc.rl.ac.uk-1*host289.jc.rl.ac.uk,haswell256G-haswell256G,1,0.00,0.07,0.14,0.29,0.58,1.16,2.36,4.73,8.95,17.28,32.71,63.80,114.61,183.66,259.25,407.13,377.04,547.78,752.03,911.28,1035.13,1101.62,1140.77,1159.02,1167.22,1170.50
