File Name,T/V,N,NB,P,Q,Time,Gflops,CPU time (sec.),Max Memory (MB),Average Memory (MB),Total Requested Memory (MB),Delta Memory (MB),Max Swap (MB),Max Processes,Max Threads,Run time (sec.),Turnaround time (sec.),Protocols Seen,Number of Hosts,Hosts Used,Host Groups,Start Time,Exclusive
482629.out,WR11R2C4,44640,180,2,2,1317.57,4.501e+01,5377.00,15544.75,14800.15,-,-,16449,12,14,1360,4167,SHM,1,4*cn374.scarf.rl.ac.uk,scarf12,Thu Mar 23 12:18:18 2017,1
482681.out,WR11R2C4,44640,180,2,2,472.42,1.255e+02,1988.25,15576.66,12485.79,-,-,16493,13,15,501,4171,SHM-TCP,2,2*cn199.scarf.rl.ac.uk-2*cn217.scarf.rl.ac.uk,scarf16-scarf16,Thu Mar 23 12:32:29 2017,1
482624.out,WR11R2C4,44640,180,2,2,1318.62,4.498e+01,5381.00,15544.43,14385.10,-,-,16438,13,15,1359,4218,SHM-IBV,2,2*cn379.scarf.rl.ac.uk-2*cn376.scarf.rl.ac.uk,scarf12-scarf12,Thu Mar 23 12:19:07 2017,1
482625.out,WR11R2C4,44640,180,2,2,1321.51,4.488e+01,5392.07,15543.19,14688.33,-,-,16438,13,15,1354,4219,SHM-IBV,2,2*cn380.scarf.rl.ac.uk-2*cn375.scarf.rl.ac.uk,scarf12-scarf12,Thu Mar 23 12:19:07 2017,1
482692.out,WR11R2C4,44640,180,2,2,452.25,1.311e+02,1910.65,15583.43,13550.58,-,-,16556,12,14,493,4519,SHM,1,4*cn216.scarf.rl.ac.uk,scarf16,Thu Mar 23 12:38:39 2017,1
482682.out,WR11R2C4,44640,180,2,2,471.71,1.257e+02,1985.38,15582.29,13320.35,-,-,16497,13,15,504,4540,SHM-TCP,2,2*cn203.scarf.rl.ac.uk-2*cn212.scarf.rl.ac.uk,scarf16-scarf16,Thu Mar 23 12:38:38 2017,1
482683.out,WR11R2C4,44640,180,2,2,451.04,1.315e+02,1912.31,15578.38,13323.67,-,-,16542,13,15,493,4668,SHM-IBV,2,2*cn199.scarf.rl.ac.uk-2*cn217.scarf.rl.ac.uk,scarf16-scarf16,Thu Mar 23 12:41:05 2017,1
482684.out,WR11R2C4,44640,180,2,2,449.52,1.319e+02,1905.74,15588.92,13325.26,-,-,16545,13,15,479,4684,SHM-IBV,2,2*cn209.scarf.rl.ac.uk-2*cn206.scarf.rl.ac.uk,scarf16-scarf16,Thu Mar 23 12:41:22 2017,1
482685.out,WR11R2C4,44640,180,2,2,452.51,1.311e+02,1927.32,15586.87,13245.71,-,-,16545,13,15,485,4702,SHM-IBV,2,2*cn208.scarf.rl.ac.uk-2*cn213.scarf.rl.ac.uk,scarf16-scarf16,Thu Mar 23 12:41:38 2017,1
482686.out,WR11R2C4,44640,180,2,2,449.16,1.320e+02,1902.00,15572.50,13311.67,-,-,16542,13,15,489,5007,SHM-IBV,2,2*cn207.scarf.rl.ac.uk-2*cn216.scarf.rl.ac.uk,scarf16-scarf16,Thu Mar 23 12:46:49 2017,1
